Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonHDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,100
X99.5.,5.489274733,5.535108072,5.580532718,5.625394867,5.669562178,5.713332269,5.75738282,5.802415527,5.849141257,5.897966665,5.948723365,6.001177908,6.055092711,6.110135508,6.165591443,6.220632456,6.274412936,6.32615404,6.375919943,6.424280198,6.471822293,6.519149806,6.567047105,6.616523121,6.668619246,6.724398502,6.784775238,6.85022082,6.921145949,6.997978934,7.08100625,7.169508618,7.26235005,7.358357502,7.456305251,7.554722519,7.651915009,7.746122321,7.835530965,7.918753064,7.995222625,8.064460513,8.125991927,8.179393952,8.224433843,8.260940153,8.288759762,8.307834138,8.318860521,8.322973165,8.321327194,8.315080358,8.305168835,8.292260471,8.277007069,8.260058628,8.24203453,8.223479144,8.204921994,8.186889083,8.169716366,8.152611809,8.134368302,8.11378623,8.089725446,8.061857172,8.030505957,7.996014978,7.958725875,7.918948903,7.876941872,7.832955488,7.787237866,7.740024801,7.691513036,7.641887942,7.591332098,7.54002489,7.488140256,7.435847742,7.383313767,7.330700041,7.278117625,7.173259242
X99.,5.230682811,5.274401455,5.317739501,5.360549872,5.402705863,5.44449118,5.486552696,5.52956075,5.574194991,5.620844977,5.669351034,5.719491182,5.771039307,5.823678534,5.876725679,5.929388568,5.980857478,6.030385878,6.078033856,6.124345637,6.169883112,6.215224062,6.261119982,6.30853821,6.358478008,6.411960279,6.46986436,6.532645613,6.600701883,6.674448622,6.754165874,6.839168204,6.92836905,7.020644825,7.11481971,7.20948043,7.302996552,7.393671736,7.479756355,7.559908819,7.633578328,7.700297744,7.759604274,7.811085402,7.854512393,7.889716204,7.916546123,7.934943356,7.945578832,7.949545774,7.94795811,7.941932639,7.932372602,7.919922469,7.905211233,7.888866081,7.871484573,7.853591815,7.835698466,7.818311673,7.801755235,7.785265464,7.767678732,7.747838928,7.72464763,7.697788811,7.667576274,7.634341769,7.598415525,7.560097463,7.519636904,7.477276247,7.433255302,7.387801905,7.34110619,7.29334724,7.24470135,7.19534163,7.145435833,7.095147371,7.04463653,6.994058947,6.943521465,6.842771141
X97.5.,4.850919417,4.891532459,4.931806162,4.97160333,5.010805533,5.049676045,5.088816502,5.128851187,5.170413906,5.213869106,5.25906991,5.30581118,5.353883643,5.402993033,5.452502673,5.501673092,5.549747273,5.596026135,5.640563767,5.683867195,5.726460724,5.768884244,5.811840974,5.856237171,5.903010226,5.953119188,6.007391972,6.06626044,6.130103556,6.199317891,6.274174043,6.354036281,6.437890628,6.52468613,6.613320256,6.702464178,6.790581253,6.876069217,6.957272233,7.03291669,7.10247409,7.165494926,7.22153403,7.270194166,7.31125248,7.344543465,7.369919943,7.387322737,7.397384133,7.401137099,7.399635064,7.393934688,7.384890835,7.373113652,7.35919863,7.343739457,7.327301648,7.31038201,7.293463509,7.277025593,7.26137421,7.245787303,7.229165097,7.210415378,7.18850099,7.163124638,7.134584342,7.103195073,7.069270299,7.033094765,6.994905327,6.954932183,6.913402947,6.870533767,6.826505069,6.781486705,6.735645739,6.689146064,6.64214635,6.594801003,6.5472613,6.49967396,6.45213963,6.357422328
X95.,4.524301948,4.562244,4.5998822,4.637087846,4.67374963,4.710113249,4.746741433,4.784218856,4.823139898,4.863847406,4.906205509,4.950023556,4.995106759,5.041180293,5.087647483,5.133814186,5.178968712,5.222452793,5.264315357,5.305031436,5.345093007,5.385007376,5.425436241,5.467233326,5.511282806,5.558490536,5.609640205,5.665143462,5.725363033,5.79067925,5.861354588,5.936796064,6.016052127,6.098134291,6.182003059,6.26640223,6.349875826,6.430902497,6.507907064,6.579674385,6.645695146,6.705534999,6.758763936,6.804997863,6.844018985,6.875664834,6.899791273,6.916338794,6.925906449,6.929475385,6.928046995,6.922626217,6.914026313,6.902827904,6.889597669,6.874900488,6.85927431,6.84319161,6.827111532,6.811489703,6.796616717,6.781806322,6.766013663,6.748201476,6.727385301,6.703283953,6.676181877,6.646379613,6.614176214,6.579843372,6.543607222,6.505687472,6.466301243,6.425654632,6.383919715,6.341258407,6.29782983,6.253789951,6.20928963,6.164475524,6.119491164,6.074475597,6.029524143,5.939995573
X90.,4.147732924,4.182595496,4.217195129,4.251412917,4.285145759,4.318619091,4.352350786,4.38687985,4.422755207,4.460294802,4.499375454,4.539823212,4.581459989,4.624033377,4.666992817,4.709696427,4.751484778,4.791746656,4.830525036,4.868258067,4.905400453,4.942421933,4.979936332,5.018736805,5.059646179,5.103508974,5.151057892,5.202681276,5.25872313,5.319545069,5.385400194,5.455744815,5.529699351,5.606347339,5.684721954,5.763650732,5.841770694,5.917653778,5.989817803,6.057115035,6.119058277,6.17523066,6.225219656,6.268656319,6.305328688,6.335077801,6.357763024,6.37332447,6.382322876,6.385679636,6.384336153,6.379237735,6.371149674,6.360618554,6.348177836,6.334359182,6.319668764,6.304551,6.28943757,6.274756636,6.260781093,6.246865967,6.232029722,6.215298449,6.195748443,6.173117093,6.147673193,6.119700643,6.089481879,6.057273543,6.02328941,5.987737092,5.950821612,5.91273748,5.873647147,5.833703373,5.793056126,5.751852235,5.710233554,5.668337806,5.626299592,5.584249116,5.542275553,5.458729258
X80.,3.69173734,3.722870903,3.753791069,3.784390795,3.814576918,3.84455034,3.874774612,3.905733446,3.937920716,3.971624216,4.006736131,4.043102734,4.080566159,4.118901143,4.157612974,4.196123051,4.233835227,4.270195268,4.305238944,4.339359737,4.372967221,4.406485637,4.440470845,4.475642658,4.512749609,4.55256195,4.595750639,4.642675801,4.69365877,4.749038487,4.809056715,4.873229442,4.940764245,5.010831872,5.082553498,5.154858057,5.226495189,5.296149792,5.3624523,5.424336605,5.481342291,5.533073655,5.579139335,5.61918873,5.653016945,5.680469259,5.701409283,5.715776669,5.724085757,5.727185589,5.725944923,5.721236857,5.713768598,5.704045514,5.692560838,5.679806011,5.666248726,5.652299424,5.638356527,5.624814945,5.611926134,5.599095109,5.585417006,5.569994636,5.551977862,5.531126564,5.507690584,5.481933675,5.454118148,5.424482423,5.393225306,5.360539762,5.326616166,5.291634997,5.255747047,5.219093993,5.181814719,5.144044987,5.105915746,5.067553902,5.02908324,4.990623257,4.952255686,4.875953457
X75.,3.518502596,3.548219492,3.577741812,3.606967021,3.635805729,3.664449519,3.693341307,3.722943793,3.753729944,3.785976094,3.819580269,3.854396422,3.890274373,3.926999169,3.964097313,4.001014248,4.037177868,4.072055584,4.105680429,4.138428918,4.170693475,4.202881062,4.235525515,4.269318783,4.304981178,4.343254734,4.384786952,4.429927239,4.478988314,4.532300508,4.590101272,4.65192927,4.717025187,4.784592906,4.853787031,4.923575021,4.992749296,5.060037673,5.124113364,5.183941274,5.23907116,5.289115362,5.333690556,5.372453114,5.405200822,5.431780572,5.452057587,5.465971345,5.474018557,5.477020781,5.475819176,5.471259407,5.464026613,5.454610505,5.443489035,5.43113836,5.418011557,5.404506158,5.391007953,5.377899215,5.365423259,5.353004089,5.339765969,5.324840856,5.307406565,5.287231516,5.264558354,5.239643177,5.212740651,5.184082271,5.15386116,5.122264716,5.08947775,5.05567541,5.02100406,4.985601165,4.949601399,4.913136319,4.876332731,4.839313433,4.8021981,4.765102161,4.728104523,4.654554347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,100
X99.5.,8.082879405,8.135342493,8.18705793,8.237743205,8.287139466,8.335495799,8.383510446,8.431908684,8.481424633,8.532424126,8.584579063,8.637480279,8.690710905,8.743812089,8.796174535,8.847140883,8.896042481,8.942300174,8.986347645,9.029224863,9.071995898,9.115740256,9.161527515,9.210412084,9.26346601,9.321784009,9.386237911,9.457052075,9.534352418,9.61827673,9.70880526,9.804850881,9.904877116,10.00729662,10.11046291,10.21259854,10.31180367,10.40611642,10.49352855,10.5726982,10.64353367,10.70609158,10.76044909,10.80669304,10.84488846,10.87510781,10.89744042,10.91203561,10.91948644,10.9206424,10.91636651,10.90752763,10.89496847,10.87949712,10.86191811,10.84303286,10.82363989,10.80453628,10.78651476,10.77036363,10.75660852,10.74420947,10.73154753,10.71700953,10.69904773,10.67705202,10.65117029,10.62157474,10.58844113,10.55207481,10.51299927,10.47175505,10.42887701,10.38482971,10.33982614,10.29401758,10.24755334,10.20057738,10.15320101,10.10551723,10.0576175,10.00959143,9.961513691,9.865432918
X99.,7.718049332,7.768617823,7.818474465,7.867346397,7.914983401,7.96162509,8.007944577,8.054641496,8.102424462,8.15164706,8.201993199,8.253068305,8.304470104,8.355755497,8.406335757,8.45557534,8.50282741,8.54753128,8.590105029,8.631553136,8.672903934,8.715201216,8.759479723,8.806760103,8.85808071,8.914502582,8.976871949,9.045409195,9.120239835,9.201501266,9.28917867,9.382223302,9.479150002,9.578422765,9.678446592,9.777497704,9.873731775,9.965242522,10.05007703,10.12692801,10.19570158,10.2564484,10.3092397,10.35415663,10.39125972,10.42061724,10.44231427,10.45649472,10.46373401,10.46485716,10.46070264,10.4521148,10.43991262,10.42488154,10.40780344,10.38945711,10.37061841,10.35206165,10.33455677,10.31886931,10.30550956,10.29346727,10.28117002,10.26705122,10.24960802,10.22824841,10.20311662,10.17438056,10.14221165,10.10690717,10.0689761,10.02894385,9.987330158,9.944586327,9.900919425,9.85647656,9.811402863,9.765838222,9.719890791,9.673650934,9.627207468,9.580647379,9.534043125,9.440924944
X97.5.,7.182266522,7.230052644,7.277179494,7.323388381,7.368441774,7.412565368,7.456395373,7.500593767,7.545831705,7.592444789,7.640134558,7.688527872,7.737243887,7.785862644,7.833825618,7.880529306,7.925358908,7.967780862,8.00819033,8.047539671,8.086804736,8.126976869,8.169039648,8.213964144,8.262739231,8.316376486,8.375684543,8.440877947,8.512081629,8.589432401,8.672922693,8.761560128,8.853934905,8.948586425,9.043995282,9.138516525,9.230387362,9.317783128,9.398832179,9.472278012,9.538023511,9.596110614,9.646601786,9.689569878,9.725068812,9.753160643,9.773924302,9.787495657,9.794424282,9.795499248,9.791522976,9.783303784,9.771625882,9.757241362,9.740898891,9.723344021,9.705319306,9.687565628,9.67081949,9.65581296,9.643033827,9.631515471,9.61975381,9.606250625,9.589569037,9.569143585,9.545113151,9.517639322,9.486887165,9.453142076,9.416891751,9.37863938,9.338882476,9.298052902,9.256349008,9.213911776,9.170880205,9.127388202,9.083539291,9.039419954,8.995115131,8.950707951,8.906267627,8.817500255
X95.,6.721463748,6.766856878,6.811635956,6.855554478,6.898385824,6.940343716,6.98203263,7.024082155,7.067131228,7.111499985,7.15690513,7.202991955,7.249398049,7.29572335,7.341435315,7.385957993,7.42870414,7.469163519,7.507711585,7.545255873,7.582727091,7.621071478,7.66122861,7.704126917,7.750712716,7.801955046,7.858630209,7.920947724,7.989032022,8.063019411,8.142908556,8.227755557,8.31621543,8.406892427,8.498332155,8.58895746,8.677075674,8.76093233,8.838725683,8.909242897,8.972384093,9.028183688,9.076696628,9.117988612,9.152107874,9.179111151,9.199072053,9.212119554,9.218780991,9.219814518,9.215991547,9.208089416,9.196862417,9.18303398,9.167324189,9.150450011,9.13312537,9.116062394,9.099968813,9.085547921,9.073268152,9.062200407,9.05089938,9.037925661,9.021899096,9.002277079,8.979193865,8.952805626,8.923271951,8.890868028,8.856063238,8.81934166,8.781181696,8.741998488,8.70198289,8.661270613,8.619995384,8.578285963,8.536241895,8.493946322,8.45148085,8.40892529,8.366346065,8.281320629
X90.,6.190187662,6.232821824,6.274894072,6.31617195,6.356441417,6.395902394,6.435122767,6.474694783,6.515220235,6.557001428,6.599772547,6.643200138,6.68694304,6.730624135,6.77374083,6.815748943,6.856092999,6.894289656,6.930691646,6.966154822,7.00155785,7.037794964,7.075755006,7.116317246,7.160378936,7.208860072,7.262499675,7.321501475,7.385989322,7.456098946,7.5318362,7.612313073,7.696259313,7.782353939,7.869217516,7.955351054,8.039142735,8.118919023,8.192958765,8.260099469,8.320238069,8.373400314,8.419632479,8.458992018,8.491520608,8.517268852,8.536304225,8.548747757,8.555101142,8.556086893,8.552440668,8.54490409,8.534196952,8.521009643,8.506029292,8.489939909,8.473422408,8.457155766,8.441814541,8.428068854,8.416364819,8.4058166,8.395046653,8.382683375,8.36741201,8.348716302,8.326725173,8.301588549,8.273459706,8.242602061,8.209463881,8.17450721,8.138188415,8.100903361,8.062834261,8.024110745,7.984860466,7.945206248,7.905243049,7.865050159,7.82470534,7.784284581,7.743851084,7.66313986
X80.,5.546853945,5.586147216,5.624941704,5.663021969,5.700189201,5.73662661,5.772857773,5.80942972,5.846899265,5.885547119,5.925128641,5.965336107,6.005854093,6.046333261,6.086307287,6.125270459,6.162705771,6.198162449,6.231965708,6.26490882,6.297807433,6.331492803,6.366792342,6.404525788,6.445530981,6.490668526,6.540632304,6.595619033,6.65575186,6.721165815,6.791875453,6.867060446,6.945541029,7.026086762,7.107408978,7.188103338,7.266655926,7.341491209,7.410985622,7.474037637,7.53054033,7.580508949,7.623979275,7.660998775,7.691601184,7.715829681,7.733744312,7.745456486,7.751436843,7.752364742,7.748932542,7.741838619,7.731760992,7.71935004,7.705252983,7.690113926,7.674573808,7.659271465,7.644841283,7.631913216,7.620906351,7.610987237,7.600860386,7.589236305,7.574879428,7.557305406,7.536636707,7.513015691,7.486587989,7.457602766,7.42648272,7.393663212,7.359573929,7.324587392,7.288875346,7.252560066,7.215761842,7.178596314,7.141152884,7.103506179,7.065729305,7.027893621,6.990058433,6.914571382
X75.,5.302448615,5.340472666,5.378021918,5.414887396,5.450876074,5.486164817,5.521260365,5.556692573,5.593001166,5.630458651,5.66882843,5.707812557,5.747105383,5.786368124,5.825148236,5.862954622,5.899284889,5.933700637,5.966516626,5.998502356,6.03044953,6.063165482,6.097454284,6.134113058,6.173957073,6.217824374,6.26639169,6.319853075,6.378331411,6.44196146,6.510761085,6.583935668,6.660339824,6.738777508,6.817994538,6.89662253,6.973184763,7.046142936,7.113910558,7.175409263,7.230530658,7.279286005,7.321707096,7.357837604,7.387708249,7.411359387,7.428848243,7.440282571,7.446121214,7.447027134,7.443676243,7.436750487,7.426912014,7.414796003,7.401034513,7.386256489,7.371087683,7.356151682,7.34206761,7.32945016,7.318708153,7.309028038,7.299145503,7.287802245,7.273792787,7.256644898,7.236478596,7.213433367,7.187651935,7.159378054,7.129024705,7.097017115,7.063774834,7.029661513,6.994844924,6.959444543,6.923577865,6.887357802,6.850871643,6.814192245,6.777390945,6.740537343,6.703689264,6.630186899
